iter	RMSE
0	13.93050757
1	13.23657915
2	12.57886703
3	12.05194238
4	11.52239873
5	11.0200698
6	10.53265918
7	10.14048484
8	9.730374387
9	9.365806253
10	9.032939381
11	8.714352173
12	8.475555185
13	8.206648109
14	7.956383353
15	7.705185187
16	7.493797313
17	7.313755839
18	7.112794795
19	6.952011535
20	6.828936363
21	6.683678019
22	6.573174925
23	6.466243522
24	6.340911607
25	6.225088918
26	6.118726841
27	5.976526129
28	5.894023178
29	5.833156326
30	5.765640629
31	5.696407086
32	5.612485833
33	5.528507383
34	5.451501725
35	5.388768786
36	5.31626142
37	5.255404076
38	5.211754419
39	5.171163789
40	5.137000345
41	5.107613811
42	5.064225342
43	5.005205946
44	4.963741869
45	4.927134317
46	4.875715616
47	4.844580923
48	4.808625679
49	4.777636056
50	4.738381662
51	4.700496141
52	4.672776956
53	4.60890241
54	4.582061188
55	4.552072178
56	4.5223385
57	4.505920133
58	4.476759583
59	4.447812604
60	4.423051848
61	4.374771354
62	4.360086375
63	4.320919927
64	4.297140933
65	4.285332025
66	4.253979537
67	4.234897733
68	4.208182056
69	4.198800435
70	4.182999881
71	4.148580282
72	4.117224169
73	4.087470106
74	4.063920379
75	4.046816744
76	4.03106349
77	4.003362474
78	3.994903708
79	3.984871305
80	3.968490317
81	3.948519712
82	3.941838738
83	3.9327596
84	3.898775502
85	3.894747178
86	3.873281675
87	3.857611397
88	3.848971034
89	3.842966702
90	3.836147643
91	3.82866637
92	3.821379718
93	3.777261058
94	3.77374171
95	3.749626667
96	3.724675312
97	3.722486342
98	3.687132629
99	3.680316886
