iter	Passed	Remaining
0	0	21
1	0	20
2	0	20
3	0	18
4	0	18
5	1	18
6	1	17
7	1	18
8	1	18
9	2	18
10	2	18
11	2	18
12	2	17
13	2	17
14	3	18
15	3	17
16	3	17
17	3	17
18	4	17
19	4	17
20	4	17
21	4	17
22	5	17
23	5	17
24	5	16
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	15
32	7	14
33	7	14
34	7	14
35	8	14
36	8	14
37	8	14
38	9	14
39	9	14
40	9	13
41	9	13
42	10	13
43	10	13
44	10	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	11
51	12	11
52	12	11
53	13	11
54	13	10
55	13	10
56	13	10
57	13	10
58	14	9
59	14	9
60	14	9
61	14	9
62	14	8
63	15	8
64	15	8
65	15	8
66	15	7
67	16	7
68	16	7
69	16	7
70	16	6
71	16	6
72	17	6
73	17	6
74	17	5
75	17	5
76	17	5
77	18	5
78	18	4
79	18	4
80	18	4
81	18	4
82	19	3
83	19	3
84	19	3
85	19	3
86	19	2
87	20	2
88	20	2
89	20	2
90	20	2
91	21	1
92	21	1
93	21	1
94	21	1
95	21	0
96	22	0
97	22	0
98	22	0
99	23	0
